metacognitive_access,prior_precision,delta_complexity,delta_accuracy,delta_free_energy,prunes_prior
0.0,0.2,-0.04999999999999999,-0.30000000000000004,0.25,False
0.0,0.5,-0.35,-0.30000000000000004,-0.04999999999999995,True
0.0,1.0,-0.85,-0.30000000000000004,-0.5499999999999999,True
0.0,2.0,-1.85,-0.30000000000000004,-1.55,True
0.0,4.0,-3.85,-0.30000000000000004,-3.55,True
0.125,0.2,-0.06875000000000003,-0.26249999999999996,0.1937499999999999,False
0.125,0.5,-0.36875,-0.26249999999999996,-0.10625000000000008,True
0.125,1.0,-0.86875,-0.26249999999999996,-0.6062500000000001,True
0.125,2.0,-1.86875,-0.26249999999999996,-1.6062500000000002,True
0.125,4.0,-3.86875,-0.26249999999999996,-3.6062499999999997,True
0.25,0.2,-0.08750000000000002,-0.22499999999999998,0.13749999999999996,False
0.25,0.5,-0.3875,-0.22499999999999998,-0.16250000000000003,True
0.25,1.0,-0.8875,-0.22499999999999998,-0.6625000000000001,True
0.25,2.0,-1.8875,-0.22499999999999998,-1.6625,True
0.25,4.0,-3.8875,-0.22499999999999998,-3.6625,True
0.375,0.2,-0.10625000000000001,-0.1875,0.08124999999999999,False
0.375,0.5,-0.40625,-0.1875,-0.21875,True
0.375,1.0,-0.90625,-0.1875,-0.71875,True
0.375,2.0,-1.90625,-0.1875,-1.71875,True
0.375,4.0,-3.90625,-0.1875,-3.71875,True
0.5,0.2,-0.125,-0.15000000000000002,0.025000000000000022,False
0.5,0.5,-0.425,-0.15000000000000002,-0.27499999999999997,True
0.5,1.0,-0.925,-0.15000000000000002,-0.7749999999999999,True
0.5,2.0,-1.925,-0.15000000000000002,-1.7750000000000001,True
0.5,4.0,-3.925,-0.15000000000000002,-3.775,True
0.625,0.2,-0.14375,-0.11250000000000004,-0.031249999999999944,True
0.625,0.5,-0.44375,-0.11250000000000004,-0.33124999999999993,True
0.625,1.0,-0.94375,-0.11250000000000004,-0.8312499999999999,True
0.625,2.0,-1.94375,-0.11250000000000004,-1.8312499999999998,True
0.625,4.0,-3.94375,-0.11250000000000004,-3.83125,True
0.75,0.2,-0.16250000000000003,-0.07499999999999996,-0.08750000000000008,True
0.75,0.5,-0.4625,-0.07499999999999996,-0.38750000000000007,True
0.75,1.0,-0.9625,-0.07499999999999996,-0.8875000000000001,True
0.75,2.0,-1.9625,-0.07499999999999996,-1.8875000000000002,True
0.75,4.0,-3.9625,-0.07499999999999996,-3.8874999999999997,True
0.875,0.2,-0.18125000000000002,-0.03749999999999998,-0.14375,True
0.875,0.5,-0.48125,-0.03749999999999998,-0.44375,True
0.875,1.0,-0.98125,-0.03749999999999998,-0.94375,True
0.875,2.0,-1.98125,-0.03749999999999998,-1.94375,True
0.875,4.0,-3.98125,-0.03749999999999998,-3.94375,True
1.0,0.2,-0.2,0.0,-0.2,True
1.0,0.5,-0.5,0.0,-0.5,True
1.0,1.0,-1.0,0.0,-1.0,True
1.0,2.0,-2.0,0.0,-2.0,True
1.0,4.0,-4.0,0.0,-4.0,True
